tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,195,"Drama,War",6.1,27005
tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,0,1916,163,"Drama,History",7.7,17173
tt0009968,movie,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,0,1919,90,"Drama,Romance",7.2,11333
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,67,"Horror,Mystery,Thriller",8.0,72406
tt0012349,movie,The Kid,The Kid,0,1921,68,"Comedy,Drama,Family",8.2,139154
tt0012364,movie,The Phantom Carriage,Körkarlen,0,1921,107,"Drama,Fantasy,Horror",8.0,14680
tt0013257,movie,Häxan,Häxan,0,1922,91,"Documentary,Fantasy,Horror",7.6,17605
tt0013427,movie,Nanook of the North,Nanook of the North,0,1922,78,Documentary,7.6,13794
tt0013442,movie,Nosferatu: A Symphony of Horror,"Nosferatu, eine Symphonie des Grauens",0,1922,94,"Fantasy,Horror",7.8,112400
tt0014341,movie,Our Hospitality,Our Hospitality,0,1923,65,"Comedy,Romance,Thriller",7.7,12831
tt0014429,movie,Safety Last!,Safety Last!,0,1923,74,"Action,Comedy,Thriller",8.1,23605
tt0015064,movie,The Last Laugh,Der letzte Mann,0,1924,90,"Drama,Horror",8.0,15663
tt0015163,movie,The Navigator,The Navigator,0,1924,59,"Action,Adventure,Comedy",7.5,11381
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,45,"Action,Comedy,Romance",8.2,60059
tt0015648,movie,Battleship Potemkin,Bronenosets Potyomkin,0,1925,66,"Drama,History,Thriller",7.9,62679
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,95,"Adventure,Comedy,Drama",8.1,121853
tt0015881,movie,Greed,Greed,0,1924,140,"Drama,Thriller,Western",8.0,11107
tt0016220,movie,The Phantom of the Opera,The Phantom of the Opera,0,1925,93,Horror,7.5,20752
tt0016332,movie,Seven Chances,Seven Chances,0,1925,56,"Comedy,Romance",7.8,12044
tt0016847,movie,Faust,Faust: Eine deutsche Volkssage,0,1926,107,"Drama,Fantasy,Horror",8.1,17186
tt0017075,movie,The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,0,1927,92,"Crime,Drama,Mystery",7.3,13961
tt0017136,movie,Metropolis,Metropolis,0,1927,153,"Drama,Sci-Fi",8.3,191621
tt0017925,movie,The General,The General,0,1926,78,"Action,Adventure,Comedy",8.1,101140
tt0018037,movie,The Jazz Singer,The Jazz Singer,0,1927,88,"Drama,Music,Musical",6.4,11365
tt0018455,movie,Sunrise,Sunrise: A Song of Two Humans,0,1927,94,"Drama,Romance",8.1,54787
tt0018578,movie,Wings,Wings,0,1927,144,"Action,Drama,Romance",7.5,15072
tt0018737,movie,Pandora's Box,Die Büchse der Pandora,0,1929,109,"Crime,Drama,Romance",7.7,12237
tt0018742,movie,The Cameraman,The Cameraman,0,1928,76,"Comedy,Drama,Family",8.0,13583
tt0018773,movie,The Circus,The Circus,0,1928,72,"Comedy,Family,Romance",8.1,36846
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,114,"Biography,Drama,History",8.1,63321
tt0019421,movie,"Steamboat Bill, Jr.","Steamboat Bill, Jr.",0,1928,70,"Action,Comedy,Drama",7.8,16565
tt0019702,movie,Blackmail,Blackmail,0,1929,85,"Crime,Drama,Thriller",6.9,12450
tt0019760,movie,Man with a Movie Camera,Chelovek s kino-apparatom,0,1929,68,Documentary,8.3,28756
tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,152,"Drama,War",8.1,69123
tt0020640,movie,Animal Crackers,Animal Crackers,0,1930,97,"Comedy,Family,Musical",7.4,15563
tt0020697,movie,The Blue Angel,Der blaue Engel,0,1930,104,"Drama,Music,Romance",7.6,16771
tt0021079,movie,Little Caesar,Little Caesar,0,1931,79,"Action,Crime,Drama",7.2,14892
tt0021577,movie,L'âge d'or,L'âge d'or,0,1930,63,"Comedy,Drama",7.2,15088
tt0021749,movie,City Lights,City Lights,0,1931,87,"Comedy,Drama,Romance",8.5,203860
tt0021814,movie,Dracula,Dracula,0,1931,75,"Drama,Fantasy,Horror",7.4,61245
tt0021884,movie,Frankenstein,Frankenstein,0,1931,70,"Drama,Horror,Sci-Fi",7.8,82555
tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,99,"Crime,Mystery,Thriller",8.3,174483
tt0022158,movie,Monkey Business,Monkey Business,0,1931,77,"Comedy,Family,Musical",7.4,14480
tt0022286,movie,The Public Enemy,The Public Enemy,0,1931,83,"Crime,Drama",7.6,23586
tt0022835,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1931,98,"Horror,Sci-Fi",7.6,16394
tt0022913,movie,Freaks,Freaks,0,1932,64,"Drama,Horror",7.8,52127
tt0022958,movie,Grand Hotel,Grand Hotel,0,1932,112,"Drama,Romance",7.3,21333
tt0023027,movie,Horse Feathers,Horse Feathers,0,1932,68,"Comedy,Family,Musical",7.5,13665
tt0023042,movie,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,0,1932,92,"Crime,Drama,Film-Noir",8.2,14852
tt0023238,movie,The Most Dangerous Game,The Most Dangerous Game,0,1932,63,"Action,Adventure,Horror",7.1,14465
tt0023245,movie,The Mummy,The Mummy,0,1932,73,"Fantasy,Horror",7.0,31439
tt0023293,movie,The Old Dark House,The Old Dark House,0,1932,72,"Adventure,Comedy,Drama",7.0,13738
tt0023427,movie,Scarface,Scarface,0,1932,93,"Action,Crime,Drama",7.7,31363
tt0023458,movie,Shanghai Express,Shanghai Express,0,1932,82,"Adventure,Drama,Film-Noir",7.3,10969
tt0023563,movie,The Testament of Dr. Mabuse,Das Testament des Dr. Mabuse,0,1933,122,"Crime,Mystery,Thriller",7.9,13900
tt0023622,movie,Trouble in Paradise,Trouble in Paradise,0,1932,83,"Comedy,Crime,Romance",7.9,16623
tt0023649,movie,Vampyr,Vampyr,0,1932,75,"Fantasy,Horror",7.4,21338
tt0023694,movie,White Zombie,White Zombie,0,1932,69,Horror,6.2,12051
tt0023969,movie,Duck Soup,Duck Soup,0,1933,69,"Comedy,Musical",7.7,63718
tt0024034,movie,42nd Street,42nd Street,0,1933,89,"Comedy,Drama,Musical",7.3,13302
tt0024184,movie,The Invisible Man,The Invisible Man,0,1933,71,"Horror,Sci-Fi",7.6,41523
tt0024188,movie,Island of Lost Souls,Island of Lost Souls,0,1932,70,"Film-Noir,Horror,Sci-Fi",7.4,11510
tt0024216,movie,King Kong,King Kong,0,1933,100,"Adventure,Horror",7.9,92849
tt0024844,movie,L'Atalante,L'Atalante,0,1934,89,"Comedy,Drama,Romance",7.7,17905
tt0024894,movie,The Black Cat,The Black Cat,0,1934,65,"Crime,Horror,Romance",6.9,13513
tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,105,"Comedy,Romance",8.1,115278
tt0025452,movie,The Man Who Knew Too Much,The Man Who Knew Too Much,0,1934,75,"Crime,Mystery,Thriller",6.7,21958
tt0025878,movie,The Thin Man,The Thin Man,0,1934,91,"Comedy,Crime,Mystery",7.9,33392
tt0025913,movie,Triumph of the Will,Triumph des Willens,0,1935,110,"Documentary,History",7.1,18742
tt0026029,movie,The 39 Steps,The 39 Steps,0,1935,86,"Crime,Mystery,Thriller",7.6,63043
tt0026138,movie,Bride of Frankenstein,The Bride of Frankenstein,0,1935,75,"Drama,Horror,Sci-Fi",7.8,55155
tt0026174,movie,Captain Blood,Captain Blood,0,1935,119,"Action,Adventure,History",7.7,16458
tt0026752,movie,Mutiny on the Bounty,Mutiny on the Bounty,0,1935,132,"Adventure,Biography,Drama",7.6,25417
tt0026778,movie,A Night at the Opera,A Night at the Opera,0,1935,96,"Comedy,Music,Musical",7.8,35393
tt0027125,movie,Top Hat,Top Hat,0,1935,101,"Comedy,Musical,Romance",7.7,21184
tt0027260,movie,After the Thin Man,After the Thin Man,0,1936,112,"Comedy,Crime,Mystery",7.6,12442
tt0027532,movie,Dodsworth,Dodsworth,0,1936,101,"Drama,Romance",7.7,10504
tt0027652,movie,Fury,Fury,0,1936,92,"Crime,Drama,Film-Noir",7.8,14047
tt0027977,movie,Modern Times,Modern Times,0,1936,87,"Comedy,Drama,Romance",8.5,268575
tt0027996,movie,Mr. Deeds Goes to Town,Mr. Deeds Goes to Town,0,1936,115,"Comedy,Drama,Romance",7.8,23777
tt0028010,movie,My Man Godfrey,My Man Godfrey,0,1936,94,"Comedy,Drama,Romance",7.9,27187
tt0028096,movie,The Petrified Forest,The Petrified Forest,0,1936,82,"Drama,Thriller",7.5,15304
tt0028212,movie,Sabotage,Sabotage,0,1936,76,"Crime,Thriller",7.0,19370
tt0028333,movie,Swing Time,Swing Time,0,1936,103,"Comedy,Musical,Romance",7.5,14948
tt0028597,movie,The Awful Truth,The Awful Truth,0,1937,90,"Comedy,Romance",7.7,22068
tt0028691,movie,Captains Courageous,Captains Courageous,0,1937,117,"Adventure,Drama,Family",7.9,11269
tt0028772,movie,A Day at the Races,A Day at the Races,0,1937,111,"Comedy,Family,Musical",7.5,14836
tt0028950,movie,The Grand Illusion,La grande illusion,0,1937,113,"Drama,War",8.1,39711
tt0029162,movie,Lost Horizon,Lost Horizon,0,1937,132,"Adventure,Drama,Fantasy",7.6,14859
tt0029284,movie,My Favorite Wife,My Favorite Wife,0,1940,88,"Comedy,Romance",7.3,11874
tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,83,"Adventure,Animation,Family",7.6,221248
tt0029606,movie,A Star Is Born,A Star Is Born,0,1937,111,"Drama,Romance",7.3,11203
tt0029811,movie,Young and Innocent,Young and Innocent,0,1937,83,"Crime,Drama,Mystery",6.8,11275
tt0029843,movie,The Adventures of Robin Hood,The Adventures of Robin Hood,0,1938,102,"Action,Adventure,Romance",7.9,55574
tt0029850,movie,Alexander Nevsky,Aleksandr Nevskiy,0,1938,112,"Action,Biography,Drama",7.5,12559
tt0029870,movie,Angels with Dirty Faces,Angels with Dirty Faces,0,1938,97,"Crime,Drama,Film-Noir",7.9,23751
tt0029947,movie,Bringing Up Baby,Bringing Up Baby,0,1938,102,Comedy,7.8,67485
tt0030241,movie,Holiday,Holiday,0,1938,95,"Comedy,Romance",7.7,19047
tt0030287,movie,Jezebel,Jezebel,0,1938,104,"Drama,Romance",7.4,15456
tt0030341,movie,The Lady Vanishes,The Lady Vanishes,0,1938,96,"Mystery,Thriller",7.7,58574
tt0030643,movie,Port of Shadows,Le quai des brumes,0,1938,91,"Crime,Drama,Romance",7.7,10236
tt0030993,movie,You Can't Take It with You,You Can't Take It with You,0,1938,126,"Comedy,Drama,Romance",7.8,28797
tt0031210,movie,Dark Victory,Dark Victory,0,1939,104,"Drama,Romance",7.4,12782
tt0031225,movie,Destry Rides Again,Destry Rides Again,0,1939,95,"Comedy,Western",7.6,12898
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,238,"Drama,Romance,War",8.2,342015
tt0031385,movie,"Goodbye, Mr. Chips","Goodbye, Mr. Chips",0,1939,114,"Drama,Romance",7.9,11809
tt0031398,movie,Gunga Din,Gunga Din,0,1939,117,"Adventure,Comedy,War",7.2,13105
tt0031448,movie,The Hound of the Baskervilles,The Hound of the Baskervilles,0,1939,80,"Crime,Mystery,Thriller",7.4,12046
tt0031455,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1939,116,"Drama,Romance",7.8,12646
tt0031505,movie,Jamaica Inn,Jamaica Inn,0,1939,98,"Adventure,Crime",6.3,11550
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,129,"Comedy,Drama",8.1,124438
tt0031725,movie,Ninotchka,Ninotchka,0,1939,110,"Comedy,Romance",7.8,23580
tt0031762,movie,Only Angels Have Wings,Only Angels Have Wings,0,1939,121,"Adventure,Drama,Romance",7.6,16239
tt0031867,movie,The Roaring Twenties,The Roaring Twenties,0,1939,106,"Crime,Drama,Thriller",7.9,16306
tt0031885,movie,The Rules of the Game,La règle du jeu,0,1939,110,"Comedy,Drama",7.9,32060
tt0031951,movie,Son of Frankenstein,Son of Frankenstein,0,1939,99,"Drama,Horror,Sci-Fi",7.1,12306
tt0031971,movie,Stagecoach,Stagecoach,0,1939,96,"Adventure,Drama,Western",7.8,55536
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,102,"Adventure,Family,Fantasy",8.1,443455
tt0032143,movie,The Women,The Women,0,1939,133,"Comedy,Drama",7.7,15342
tt0032145,movie,Wuthering Heights,Wuthering Heights,0,1939,104,"Drama,Romance",7.5,20346
tt0032455,movie,Fantasia,Fantasia,0,1940,124,"Animation,Family,Fantasy",7.7,106596
tt0032484,movie,Foreign Correspondent,Foreign Correspondent,0,1940,120,"Action,Drama,Romance",7.4,24505
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,129,Drama,8.1,102694
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,125,"Comedy,Drama,War",8.4,245644
tt0032599,movie,His Girl Friday,His Girl Friday,0,1940,92,"Comedy,Drama,Romance",7.8,64750
tt0032701,movie,The Letter,The Letter,0,1940,95,"Crime,Drama,Film-Noir",7.5,15020
tt0032762,movie,The Mark of Zorro,The Mark of Zorro,0,1940,94,"Action,Adventure,Family",7.5,11344
tt0032904,movie,The Philadelphia Story,The Philadelphia Story,0,1940,112,"Comedy,Romance",7.8,75420
tt0032910,movie,Pinocchio,Pinocchio,0,1940,88,"Adventure,Animation,Comedy",7.5,164242
tt0032976,movie,Rebecca,Rebecca,0,1940,130,"Drama,Mystery,Romance",8.1,150813
tt0033028,movie,The Sea Hawk,The Sea Hawk,0,1940,127,"Action,Adventure,History",7.6,11011
tt0033045,movie,The Shop Around the Corner,The Shop Around the Corner,0,1940,99,"Comedy,Drama,Romance",8.0,40789
tt0033152,movie,The Thief of Bagdad,The Thief of Bagdad,0,1940,106,"Adventure,Family,Fantasy",7.4,14987
tt0033238,movie,Waterloo Bridge,Waterloo Bridge,0,1940,108,"Drama,Romance,War",7.7,11235
tt0033373,movie,Ball of Fire,Ball of Fire,0,1941,111,"Comedy,Romance",7.7,14598
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,119,"Drama,Mystery",8.3,476140
tt0033553,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1941,113,"Drama,Horror,Sci-Fi",6.8,10168
tt0033563,movie,Dumbo,Dumbo,0,1941,64,"Adventure,Animation,Drama",7.2,145398
tt0033717,movie,High Sierra,High Sierra,0,1940,100,"Action,Adventure,Drama",7.5,19990
tt0033729,movie,How Green Was My Valley,How Green Was My Valley,0,1941,118,"Drama,Family",7.7,27382
tt0033804,movie,The Lady Eve,The Lady Eve,0,1941,94,"Comedy,Romance",7.7,24092
